Round,Match,Half,Shot,Kick,Intercept
2,1,1,2,R,R
2,1,1,3,C ,C
2,1,1,4,C,r
2,1,1,5,C,r
2,1,2,1,R,R
2,1,2,2,L,L
2,1,2,3,c,R
2,1,2,4,R,L
2,1,2,5,R,C
2,3,1,1,Middle,Right
2,3,1,2,Left,Left
2,3,1,3,Middle,Middle
2,3,1,4,Middle,Right
2,3,1,5,Left,Right
2,3,2,1,Middle,Left
2,3,2,2,Right,Right
2,3,2,3,Left,Left
2,3,2,4,Middle,Middle
2,3,2,5,Middle,Left
2,4,1,1,right,middle
2,4,1,2,right,left
2,4,1,3,right,left
2,4,1,4,center,right
2,4,1,5,center,center
2,4,2,1,right,left
2,4,2,2,center,left
2,4,2,3,left,center
2,4,2,4,right,right
2,4,2,5,center,left
2,5,1,1,L,R
2,5,1,2,C,L
2,5,1,3,R,L
2,5,1,4,L,C
2,5,1,5,L,C
2,5,2,1,C,C
2,5,2,2,C,L
2,5,2,3,L,R
2,5,2,4,R,R
2,5,2,5,R,L
2,9,1,1,L,C
2,9,1,2,C,R
2,9,1,3,L,C
2,9,1,4,R,L
2,9,1,5,L,R
2,9,2,1,L,C
2,9,2,2,R,L
2,9,2,3,L,R
2,9,2,4,C,C
2,9,2,5,L,L
2,10,1,1,r,r
2,10,1,2,l,l
2,10,1,3,l,r
2,10,1,4,l,c
2,10,1,5,r,r
2,10,2,1,r,r
2,10,2,2,c,l
2,10,2,3,l,l
2,10,2,4,r,l
2,10,2,5,l,c
2,13,1,1,L,C
2,13,1,2,R,L
2,13,1,3,C,L
2,13,1,4,C,C
2,13,1,5,R,C
2,13,2,1,C,C
2,13,2,2,C,L
2,13,2,3,C,C
2,13,2,4,C,C
2,13,2,5,R,C
3,1,1,1,L,Left
3,1,1,2,C,R
3,1,1,3,L,C
3,1,1,4,C,R
3,1,1,5,R,L
3,1,2,1,L,C
3,1,2,2,C,R
3,1,2,3,C,R
3,1,2,4,L,C
3,1,2,5,R,C
3,3,1,1,r,L
3,3,1,2,l,c
3,3,1,3,c,r
3,3,1,4,l,l
3,3,1,5,r,c
3,3,2,1,l,c
3,3,2,2,c,r
3,3,2,3,l,l
3,3,2,4,r,c
3,3,2,5,r,r
3,4,1,1,Middle,Middle
3,4,1,2,left,Right
3,4,1,3,left,left
3,4,1,4,right,middle
3,4,1,5,right,
3,4,2,1,,
3,4,2,2,,
3,4,2,3,,
3,4,2,4,,
3,4,2,5,,
3,5,1,1,C,L
3,5,1,2,C,R
3,5,1,3,R,C
3,5,1,4,L,C
3,5,1,5,R,R
3,5,2,1,R,R
3,5,2,2,R,L
3,5,2,3,R,R
3,5,2,4,R,C
3,5,2,5,C,L
3,6,1,1,C,L
3,6,1,2,C,C
3,6,1,3,C,R
3,6,1,4,C,R
3,6,1,5,C,C
3,6,2,1,C,L
3,6,2,2,R,L
3,6,2,3,L,R
3,6,2,4,C,C
3,6,2,5,R,R
3,7,1,1,L,L
3,7,1,2,L,C
3,7,1,3,L,L
3,7,1,4,L,L
3,7,1,5,L,C
3,7,2,1,R,R
3,7,2,2,C,L
3,7,2,3,C,R
3,7,2,4,C,L
3,7,2,5,C,R
3,8,1,1,m,m
3,8,1,2,m,l
3,8,1,3,m,r
3,8,1,4,l,l
3,8,1,5,m,l
3,8,2,1,r,m
3,8,2,2,m,l
3,8,2,3,l,m
3,8,2,4,l,
3,8,2,5,,
4,3,1,1,l,R
4,3,1,2,C,C
4,3,1,3,l,R
4,3,1,4,r,R
4,3,1,5,c,C
4,3,2,1,C,r
4,3,2,2,L,l
4,3,2,3,C,r
4,3,2,4,R,c
4,3,2,5,R,l
4,4,1,1,C,C
4,4,1,2,L,R
4,4,1,3,L,C
4,4,1,4,R,C
4,4,1,5,L,R
4,4,2,1,L,C
4,4,2,2,L,L
4,4,2,3,L,L
4,4,2,4,C,L
4,4,2,5,C,R
5,1,1,1,L,R
5,1,1,2,L,C
5,1,1,3,C,L
5,1,1,4,L,C
5,1,1,5,L,R
5,1,2,1,C,L
5,1,2,2,R,R
5,1,2,3,L,C
5,1,2,4,L,C
5,1,2,5,C,R
5,2,1,1,C,C
5,2,1,2,C,R
5,2,1,3,R,C
5,2,1,4,C,C
5,2,1,5,C,R
5,2,2,1,L,L
5,2,2,2,R,r
5,2,2,3,R,R
5,2,2,4,R,L
5,2,2,5,C,R
6,1,1,1,L,R
6,1,1,2,L,R
6,1,1,3,C,C
6,1,1,4,C,L
6,1,1,5,R,C
6,1,2,1,C,R
6,1,2,2,R,L
6,1,2,3,L,C
6,1,2,4,C,C
6,1,2,5,C,C
