round, match, shot, s_k,    s_g,    goal
2,     3,     5,    ,       ,       FALSE
2,     4,     1,    Center, Left,   TRUE
2,     4,     1,    Center, Left,   FALSE
2,     4,     2,    Center, Right,  TRUE
2,     4,     2,    Left,   Center, TRUE
2,     4,     3,    Left,   Center, TRUE
2,     4,     3,    Right,  Left,   TRUE
2,     4,     4,    Center, Right,  FALSE
2,     4,     4,    Right,  Center, TRUE
2,     4,     5,    Left,   Left,   FALSE
2,     4,     5,    Right,  Center, TRUE
2,     6,     1,    Center, Center, FALSE
2,     6,     1,    Right,  Left,   TRUE
2,     6,     2,    Right,  Center, TRUE
2,     6,     2,    Right,  Right,  FALSE
2,     6,     3,    Right,  Left,   TRUE
2,     6,     3,    Left,   Right,  TRUE
2,     6,     4,    Center, Center, FALSE
2,     6,     4,    Right,  Left,   TRUE
2,     6,     5,    Right,  Center, TRUE
2,     6,     5,    Right,  Left,   FALSE
2,     10,    1,    Center, Left,   TRUE
2,     10,    1,    Left,   Center, FALSE
2,     10,    2,    Left,   Center, FALSE
2,     10,    2,    Center, Right,  TRUE
2,     10,    3,    Right,  Center, FALSE
2,     10,    3,    Right,  Left,   TRUE
2,     10,    4,    Right,  Center, TRUE
2,     10,    4,    Center, Center, FALSE
2,     10,    5,    Right,  Center, TRUE
2,     10,    5,    Center, Right,  TRUE
2,     32,    1,    Left,   Left,   FALSE
2,     32,    1,    Center, Right,  TRUE
2,     32,    2,    Right,  Center, TRUE
2,     32,    2,    Left,   Right,  TRUE
2,     32,    3,    Left,   Right,  TRUE
2,     32,    3,    Right,  Left,   TRUE
2,     32,    4,    Center, Right,  TRUE
2,     32,    4,    Left,   Right,  TRUE
2,     32,    5,    Right,  Right,  TRUE
2,     32,    5,    Left,   Right,  FALSE
3,     1,     1,    Center, Left,   TRUE
3,     1,     1,    Left,   Right,  TRUE
3,     1,     2,    Left,   Right,  TRUE
3,     1,     2,    Right,  Center, TRUE
3,     1,     3,    Left,   Left,   FALSE
3,     1,     3,    Left,   Left,   FALSE
3,     1,     4,    Center, Left,   TRUE
3,     1,     4,    Left,   Right,  TRUE
3,     1,     5,    Left,   Right,  TRUE
3,     1,     5,    Left,   Right,  TRUE
3,     2,     1,    Center, Center, FALSE
3,     2,     1,    Center, Right,  FALSE
3,     2,     2,    Right,  Center, TRUE
3,     2,     2,    Right,  Left,   TRUE
3,     2,     3,    Left,   Center, TRUE
3,     2,     3,    Left,   Left,   TRUE
3,     2,     4,    Right,  Right,  FALSE
3,     2,     4,    Center, Center, FALSE
3,     2,     5,    Right,  Right,  FALSE
3,     2,     5,    Left,   ,       TRUE
3,     3,     1,    Center, Right,  TRUE
3,     3,     1,    Center, Left,   TRUE
3,     3,     2,    Right,  Center, TRUE
3,     3,     2,    Right,  Right,  FALSE
3,     3,     3,    Right,  Left,   TRUE
3,     3,     3,    Left,   Left,   FALSE
3,     3,     4,    Center, Left,   TRUE
3,     3,     4,    Center, Center, FALSE
3,     3,     5,    Left,   Right,  TRUE
3,     3,     5,    Right,  Center, TRUE
3,     4,     1,    Center, Left,   FALSE
3,     4,     1,    Right,  Right,  TRUE
3,     4,     2,    Left,   Center, TRUE
3,     4,     2,    Center, Right,  TRUE
3,     4,     3,    Left,   Right,  TRUE
3,     4,     3,    Center, Left,   FALSE
3,     4,     4,    Center, Left,   TRUE
3,     4,     4,    Right,  Center, TRUE
3,     4,     5,    Right,  Left,   TRUE
3,     4,     5,    Right,  Left,   TRUE
3,     5,     1,    Left,   Right,  TRUE
3,     5,     1,    Center, Center, FALSE
3,     5,     2,    Right,  Right,  FALSE
3,     5,     2,    Center, Right,  TRUE
3,     5,     3,    Right,  Left,   FALSE
3,     5,     3,    Center, Right,  TRUE
3,     5,     4,    Right,  Right,  FALSE
3,     5,     4,    Center, Right,  FALSE
3,     5,     5,    Right,  Left,   TRUE
3,     5,     5,    Center, Right,  TRUE
3,     6,     1,    Right,  Center, TRUE
3,     6,     1,    Left,   Right,  FALSE
3,     6,     2,    Left,   Center, TRUE
3,     6,     2,    Left,   Right,  TRUE
3,     6,     3,    Right,  Left,   TRUE
3,     6,     3,    Right,  Left,   FALSE
3,     6,     4,    Center, Left,   TRUE
3,     6,     4,    Center, Right,  TRUE
3,     6,     5,    Left,   Right,  TRUE
3,     6,     5,    Left,   Center, TRUE
3,     7,     1,    Center, Left,   TRUE
3,     7,     1,    Right,  Right,  TRUE
3,     7,     2,    Center, Left,   TRUE
3,     7,     2,    Right,  Center, TRUE
3,     7,     3,    Left,   Center, TRUE
3,     7,     3,    Center, Right,  FALSE
3,     7,     4,    Left,   Left,   FALSE
3,     7,     4,    Center, Right,  TRUE
3,     7,     5,    Center, Center, FALSE
3,     7,     5,    Right,  Left,   TRUE
3,     15,    1,    Right,  Right,  TRUE
3,     15,    1,    Center, Left,   TRUE
3,     15,    2,    Right,  Right,  FALSE
3,     15,    2,    Right,  Center, TRUE
3,     15,    3,    Right,  Left,   TRUE
3,     15,    3,    Center, Left,   TRUE
3,     15,    4,    Right,  Right,  FALSE
3,     15,    4,    Right,  Center, TRUE
3,     15,    5,    ,       ,       FALSE
3,     15,    5,    ,       ,       FALSE
4,     1,     1,    Left,   Left,   FALSE
4,     1,     1,    Left,   Center, TRUE
4,     1,     2,    Left,   Right,  TRUE
4,     1,     2,    Left,   Left,   FALSE
4,     1,     3,    Left,   Right,  TRUE
4,     1,     3,    Right,  Center, TRUE
4,     1,     4,    Right,  Left,   TRUE
4,     1,     4,    Right,  Center, TRUE
4,     1,     5,    Right,  Right,  FALSE
4,     1,     5,    Left,   Left,   TRUE
4,     2,     1,    Left,   Left,   FALSE
4,     2,     1,    Center, Right,  FALSE
4,     2,     2,    Right,  Right,  FALSE
4,     2,     2,    Left,   Left,   TRUE
4,     2,     3,    Center, Center, FALSE
4,     2,     3,    Center, Right,  FALSE
4,     2,     4,    Right,  Left,   TRUE
4,     2,     4,    Center, Center, FALSE
4,     2,     5,    Right,  Right,  TRUE
4,     2,     5,    Left,   Center, TRUE
4,     3,     1,    Left,   Left,   TRUE
4,     3,     1,    Center, Right,  TRUE
4,     3,     2,    Right,  Left,   TRUE
4,     3,     2,    Right,  Center, TRUE
4,     3,     3,    Right,  Left,   TRUE
4,     3,     3,    Left,   Left,   FALSE
4,     3,     4,    Center, Center, FALSE
4,     3,     4,    Right,  Left,   TRUE
4,     3,     5,    Right,  Left,   TRUE
4,     3,     5,    Left,   Right,  TRUE
4,     17,    1,    Right,  Center, TRUE
4,     17,    1,    Right,  Right,  FALSE
4,     17,    2,    Left,   Right,  TRUE
4,     17,    2,    Center, Right,  TRUE
4,     17,    3,    Left,   Left,   FALSE
4,     17,    3,    Left,   Right,  TRUE
4,     17,    4,    Center, Right,  TRUE
4,     17,    4,    Left,   Right,  TRUE
4,     17,    5,    Left,   Left,   FALSE
4,     17,    5,    Center, Right,  TRUE
4,     18,    1,    Left,   Center, TRUE
4,     18,    1,    Center, Center, FALSE
4,     18,    2,    Right,  Left,   TRUE
4,     18,    2,    Center, Left,   TRUE
