"","group","round","model","buyer","price","cartype","resale_price","dealer","daler_profit"
"98",7,3,"Fiesta","Sean","420","good",980,"Charlie P",80
"99",7,3,"Fiesta","Ryan","380","lemon",620,"Charlie P",80
"100",7,4,"Golf","sebbe","610","lemon",390,"Charlie P",-50
"101",7,4,"Nova","Sean","540","good",860,"Charlie P",-50
"102",7,4,"Fiesta","Ryan","400","good",1000,"Charlie P",-50
"103",7,4,"Fiesta","Charlie","400","good",1000,"Charlie P",-50
"104",7,5,"Nova","Sean","410","good",980,"Charlie P",461
"105",7,5,"Nova","sebbe","450","lemon",550,"Charlie P",461
"106",7,5,"Nova","Charlie","400","lemon",600,"Charlie P",461
"107",7,5,"Nova","Ryan","401","lemon",599,"Charlie P",461
"108",7,6,"Fiesta","Charlie","450","good",950,"Charlie P",170
"109",7,6,"Golf","Sean","300","lemon",700,"Charlie P",170
"110",7,6,"Nova","sebbe","510","good",890,"Charlie P",170
"111",7,6,"Fiesta 2","Ryan","510","lemon",490,"Charlie P",170
"112",8,1,"Fiesta","Chris","500","good",600,"Braden",50
"113",8,1,"Golf","Jack Grage","500","lemon",200,"Braden",50
"114",8,1,"Nova","Owen Brown","450","good",600,"Braden",50
"115",8,2,"Fiesta","Chris Grimsley","425","good",600,"Braden",-675
"116",8,2,"Golf","Braden","300","lemon",200,"Braden",-675
"117",8,2,"Nova","Jack","200","good",600,"Braden",-675
"118",8,3,"Nova","Braden","410","lemon",200,"Braden",225
"119",8,3,"Golf","Owen","215","lemon",200,"Braden",225
"120",8,3,"Golf","Jack","200","lemon",200,"Braden",225
"121",8,4,"Fiesta","Braden","450","good",600,"Braden",-355
"122",8,4,"Nova","Owen","300","lemon",200,"Braden",-355
"123",8,4,"Nova","Chris","395","good",600,"Braden",-355
"124",8,5,"Fiesta","Jack","400","good",600,"Braden",-150
"125",8,5,"Golf","Owen","250","lemon",200,"Braden",-150
"126",8,5,"Nova","Chris","600","good",600,"Braden",-150
"127",8,6,"Fiesta","Braden","600","good",600,"Braden",150
"128",8,6,"Golf","Chris","150","lemon",200,"Braden",150
"129",8,6,"Nova","Jack","400","lemon",200,"Braden",150
"130",9,1,"Fiesta","William Doerr","600","good",800,"Justin",200
"131",9,1,"Golf","Cody Chase","400","lemon",600,"Justin",200
"132",9,1,"Nova","Oscar Oeding","600","good",800,"Justin",200
"133",9,2,"Fiesta","Oscar","550","good",850,"Justin",130
"134",9,2,"Golf","Cody","450","lemon",550,"Justin",130
"135",9,2,"Nova","william","530","good",870,"Justin",130
"136",9,3,"Fiesta","Oscar","620","good",780,"Justin",430
"137",9,3,"Golf","William","600","lemon",400,"Justin",430
"138",9,3,"Nova","Cody","610","good",790,"Justin",430
"139",9,4,"Fiesta","Oscar","610","lemon",490,"Justin",835
"140",9,4,"Fiesta","Cody","610","lemon",490,"Justin",835
"141",9,4,"Nova","William","615","good",785,"Justin",835
"142",9,5,"Fiesta","Oscar","620","good",780,"Justin",50
"143",9,5,"Golf","Cody","210","lemon",790,"Justin",50
"144",9,5,"Nova","William","620","lemon",380,"Justin",50
"145",9,6,"Fiesta","Oscar","420","good",980,"Justin",660
"146",9,6,"Nova","Cody","610","lemon",490,"Justin",660
"147",9,6,"Nova","william","610","lemon",390,"Justin",660
"148",10,1,"Fiesta","Floor","400","good",600,"Floor",NA
"149",10,1,"Golf","Campbell","600","lemon",450,"Floor",NA
"150",10,1,"Nova","Drew Morales","300","good",500,"Floor",NA
"151",10,2,"Fiesta","Floor","350","good",500,"Floor",NA
"152",10,2,"Golf","Campbell","550","lemon",600,"Floor",NA
"153",10,2,"Nova","Drew","250","good",300,"Floor",NA
"154",10,3,"Fiesta","Floor","No","good",400,"Floor",NA
"155",10,3,"Golf","Campbell","Yes","lemon",440,"Floor",NA
"156",10,3,"Nova","Drew","No","good",290,"Floor",NA
"157",10,4,"Fiesta","Floor","No","good",350,"Floor",NA
"158",10,4,"Golf","Campbell","Yes","lemon",400,"Floor",NA
"159",10,4,"Nova","Drew","no","good",280,"Floor",NA
"160",10,5,"Fiesta","Floor","No","good",600,"Floor",NA
"161",10,5,"Golf","Campbell","Yes","lemon",200,"Floor",NA
"162",10,5,"Nova","Drew","No","good",600,"Floor",NA
"163",16,1,"Fiesta","Drew","600","good",800,"Miguel",475
"164",16,1,"Golf","Andrew","400","lemon",600,"Miguel",475
"165",16,1,"Golf","Logan","425","lemon",575,"Miguel",475
"166",16,1,"Nova","Andy","250","lemon",750,"Miguel",475
"167",16,1,"Nova","Josh","200","lemon",800,"Miguel",475
"168",16,2,"Fiesta","Drew","500","good",850,"Miguel",-675
"169",16,2,"Golf","Andy","250","lemon",750,"Miguel",-675
"170",16,2,"Golf","Logan","200","lemon",800,"Miguel",-675
"171",16,2,"Nova","Andrew","375","good",1025,"Miguel",-675
"172",16,2,"Fiesta","Josh","100","good",1300,"Miguel",-675
"173",16,3,"Fiesta","andy","400","good",1000,"Miguel",-425
"174",16,3,"Golf","Drew","175","lemon",825,"Miguel",-425
"175",16,3,"Golf","josh",NA,NA,800,"Miguel",-425
"176",16,3,"Fiesta","Logan","550","good",850,"Miguel",-425
"177",16,3,"Nova","Andrew","250","lemon",500,"Miguel",-425
